date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:44	82094/82094	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index16.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index16.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:45	81243/81243	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index17.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index17.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:45	80402/80402	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index18.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index18.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:45	77351/77351	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index19.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index19.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:46	87494/87494	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index20.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index20.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:46	70807/70807	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:16%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index21.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index21.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:46	82220/82220	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index22.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index22.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:47	75309/75309	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index23.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index23.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:47	74891/74891	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index24.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index24.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
11:44:48	80095/80095	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20May%202022%2017:44:18%20GMT	https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index25.html	C:/My%20Web%20Sites/Admin2/crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/index25.html	(from https://crypto-admin-templates.multipurposethemes.com/sass/bs5/main-light/)
